X,Y,Numero_Zon,Municipio,NomeMunici,Area_ha,Nome,Domic,Familia,Pop,Matriculas,Empregos,Automoveis,Viagens_Pr,Viagens_At,pop_density,job_density,job_perctg,distances
333245.525114979,7394772.3246295,1,36,São Paulo,56.46,Sé,875.0001,875.0001,2345.99946784,7842.27105121,91677.8381839,192.425980373,160181.863042,160363.027936,41.5515314884874,1623.76617399752,1.01125643894436,2766.89496837614
333657.951081067,7395310.52724809,2,36,São Paulo,113.39,Parque Dom Pedro,1577.99987,1577.99987,4272.99909282,2102.8756573,54089.2515554,369.675069897,119099.81055,121018.07757,37.684091126378,477.01959216333,0.596633875717691,3322.68817507675
333381.784650295,7394202.58587937,3,36,São Paulo,48.65,Praça João Mendes,4031.9999,4031.9999,10217.9963694,4101.63101346,21367.6242425,660.414615872,56935.1337044,56019.0971194,210.030757849949,439.211186896197,0.235696521953617,2825.2246460652
332438.163612073,7394479.97431736,4,36,São Paulo,73.14,Ladeira da Memória,8376.00052,9497.19744,18195.0019214,7110.91246904,37168.6102759,2277.44651773,86135.3583672,87466.8265533,248.769509453104,508.184444570686,0.409989995539819,1915.39646975454
332319.65206486,7395259.71245046,5,36,São Paulo,75.24,República,5133.00033,5133.00033,10666.0028562,4653.52805387,114708.244677,1610.59398446,177494.370131,177899.930328,141.759740247209,1524.56465546252,1.26529435387573,2101.15044992029
332750.620665338,7395854.68578144,6,36,São Paulo,82.93,Santa Efigênia,5865.00036,5865.00036,14219.0006406,2999.66040749,49742.1142489,1537.20798448,95137.6583279,95393.2944555,171.457863747739,599.808443855058,0.548682585861192,2799.21713500621
333154.25890711,7396716.04589854,7,36,São Paulo,153.27,Luz,3726.99995,3996.59515,11370.9948257,13239.4564434,44822.4478687,2069.79735401,105197.60526,106110.426544,74.1893053154564,292.441103077576,0.494415988797072,3675.34791843378
332099.517983049,7397737.23016885,8,36,São Paulo,140.91,Bom Retiro,1910.00005,1953.11395,6201.99805269,3010.56417328,15585.96788,1101.60640525,26522.2444839,27446.0019061,44.0138957681499,110.609381023348,0.17192170635845,3936.94966906476
333534.33695084,7397524.00611892,9,36,São Paulo,129.33,Ponte Pequena,1445.99984,1824.60797,4461.99913902,4388.09220239,18530.9531167,454.304367943,32221.6228001,31878.218671,34.5008825409418,143.284258228563,0.204406495945602,4525.78211098227
334497.370271823,7397626.55074998,10,36,São Paulo,81.28,Canindé,516,536.29221,1240.00037671,5530.82383805,6502.54728499,301.619562693,17967.2932902,18035.976238,15.2559101465305,80.0018120692667,0.071726634721641,5277.55954486208
335542.405521352,7397458.88505865,11,36,São Paulo,49.89,Bom Jardim,524.99988,524.99988,1773.00049211,835.167494028,2469.67705941,344.38597998,7139.50299804,7091.00291051,35.5381938687112,49.5024465706554,0.027241881766799,6002.40831763963
334899.490154752,7396843.37145237,12,36,São Paulo,139.95,Pari,3230.00015,3316.15917,10090.9968228,6764.30128804,19539.7311186,1544.28156551,47651.9411883,48791.4679939,72.1043002700965,139.619372051447,0.215533866203183,5127.87158865942
334490.045004335,7396047.91476944,13,36,São Paulo,39.99,João Teodoro,365.99997,365.99997,1207.00055141,1471.80635259,8458.12513481,206.105768993,17440.1613317,17640.8039559,30.1825594251063,211.506004871468,0.0932977224748287,4381.67140788721
335252.421183986,7395990.86559747,14,36,São Paulo,69.94,Oriente,760.99999,760.99999,2454.00083999,1645.12098012,32369.2190054,435.441749251,56211.7035094,55607.1915664,35.0872296252502,462.814112173291,0.357050098379822,5055.53535321582
335554.772193265,7395348.7044638,15,36,São Paulo,78.29,Bresser,2610.99989,2610.99989,7182.00002895,1637.38392243,8112.78550253,1265.30274138,23382.3780332,23031.1507887,91.7358542463916,103.624798857198,0.0894884384244642,5146.97293245975
334779.502018877,7394668.49602657,16,36,São Paulo,109.4,Brás,2826.99992,2826.99992,7810.998403,2733.28191443,18251.9002252,1930.00092661,35690.7118648,35959.3509221,71.3985228793419,166.836382314442,0.201328390714005,4257.74871160637
334293.712772991,7395484.82026043,17,36,São Paulo,67.66,Gasômetro,1175.99999,1175.99999,3537.99984098,4917.36547001,7806.90145251,407.760328446,20444.0853157,22197.2086355,52.290863744901,115.38429578052,0.0861143709150121,3979.12604108975
335148.98680868,7393508.54631459,18,36,São Paulo,254.78,Independência,3688.99999,3796.66826,11263.0016857,5298.93300052,25857.4638485,1986.818285,55459.5491623,56143.969915,44.2067732384803,101.48937847751,0.285221895820824,4630.8937858765
334724.070572879,7392315.49516895,19,36,São Paulo,140.18,Cambuci,4804.00008,4877.68813,14152.003449,4191.71360261,13002.3002971,3953.15143887,43156.9282064,42193.3128029,100.955938429163,92.7543179990013,0.143422447092995,4538.02833123919
333950.277017682,7393101.51813542,20,36,São Paulo,107.95,Glicério,6001,6001,16893.0051457,2119.85371596,10246.8466589,4431.06376202,36317.4060437,35991.4747393,156.48916299861,94.9221552468735,0.113028294165295,3540.40475752004
333605.43881005,7392110.32849443,21,36,São Paulo,113.52,Aclimação,4911.9999,4911.9999,14463.9936236,3137.38428843,8663.32976539,5315.63857656,34510.0218151,34731.9876828,127.41361542988,76.3154489551621,0.0955612412061383,3647.55101032075
333114.827572429,7392698.84645536,22,36,São Paulo,50.59,Pires da Mota,4170.99996,4170.99996,10489.0045193,8445.60229233,10031.4775192,2821.91897243,30343.8865544,29850.3012973,207.333554443566,198.28973155169,0.110652655367675,2922.71030723925
332723.783188466,7392688.37838172,23,36,São Paulo,31.99,Centro Cultural,1523.00007,1555.26379,3532.00086498,23153.4058997,12323.8322838,705.926265633,45484.041723,45921.4029648,110.409530008753,385.240146414505,0.135938575738054,2593.2953023533
333104.776359727,7393549.3399828,24,36,São Paulo,62.79,Liberdade,3814.99984,4244.80045,8866.99953227,29377.1764888,21849.379273,870.711704381,83966.8312896,85100.3371071,141.216746811116,347.975462223284,0.24101054207274,2608.83301823529
331793.561848742,7394064.14610362,25,36,São Paulo,43.51,Treze de Maio,5493.99992,6234.95357,13432.9933171,2750.72460666,8953.36036047,2669.99413399,29571.2263893,29420.7415315,308.733470859572,205.777071028959,0.098760436481415,1236.66480353753
332406.04910138,7393730.8135982,26,36,São Paulo,52.34,Bexiga,5868.99992,5868.99992,13790.0009345,7629.0240093,17638.0879225,2730.76297045,45756.073018,46471.5475922,263.469639558655,336.990598442873,0.194557707027469,1887.55933946515
332159.662936685,7392915.02051427,27,36,São Paulo,93.02,Bela Vista,5638.99998,5638.99998,14434.0033383,3646.4838434,62809.4296451,5036.08141105,116160.630765,114046.154619,155.170966870565,675.22500155988,0.692822184873297,2001.16640649297
331569.68301632,7393191.89412575,28,36,São Paulo,31.26,São Carlos do Pinhal,3135.99968,3135.99968,7556.00101436,5885.91639678,20707.2911052,1784.71006313,44890.3346601,44307.9767739,241.714683760717,662.421340537428,0.228412688148511,1369.35311389042
331193.55917715,7393698.84507165,29,36,São Paulo,57.16,Masp,4744.00045,4744.00045,10066.9961885,2641.4484451,32163.6903942,1943.45859655,59602.6944181,60963.7531949,176.119597419524,562.69577316655,0.35478300596599,759.553187983622
330941.240963714,7395140.03286168,30,36,São Paulo,67.8,Higienópolis,6697.99998,6697.99998,17584.0030693,5598.11005056,23523.960831,6424.77397215,56578.3978799,57270.8729274,259.351077718289,346.96107420354,0.259482087831357,1094.68486180452
331414.870481913,7394770.77269743,31,36,São Paulo,89.58,Vila Buarque,7452.00036,7452.00036,15652.9924048,36146.794069,33523.6351252,3543.97483217,107883.522246,108118.233173,174.737579870507,374.231247211431,0.369783936322501,1079.27936174952
330557.928845775,7394114.65158241,32,36,São Paulo,57.02,Consolação,2453.0004,2453.0004,5643.00076361,5445.30862192,40292.545129,1640.13561618,70640.1348381,71921.5739776,98.965288733953,706.638813205893,0.444448696765988,4.90370444196511e-005
329690.922841548,7394533.82290114,33,36,São Paulo,90.34,Pacaembu,402.0004,427.42618,1609.9994521,140.213958844,2496.58105108,820.416134255,6329.10991388,6346.78692887,17.8215569194155,27.6353890976312,0.0275386474339281,963.018126356383
330293.85440609,7395238.14862125,34,36,São Paulo,74.4,FAAP,2450.99975,2450.99975,7073.00220298,6013.15264778,9350.5603901,3461.12822187,27267.040468,27650.7264071,95.0672339110215,125.679575135753,0.103141768932847,1154.1147439815
331798.163026263,7396245.13636627,35,36,São Paulo,145.71,Santa Cecília,12463.99992,12463.99992,29216.9862824,12212.6247674,37842.5921109,6155.40679295,97615.7570703,96735.8770752,200.514626878045,259.71170208565,0.41742438190709,2465.18686417214
330895.889045013,7396501.72341819,36,36,São Paulo,141.91,Marechal Deodoro,12137.99974,12137.99974,31736.0017242,12270.7510738,41571.8541157,9462.53954686,106976.336125,106275.175541,223.634710198013,292.945205522514,0.458560170987323,2410.87722466799
331119.079628163,7397526.96460015,37,36,São Paulo,84.69,Rudge,836.00008,861.27789,2578.00034488,6028.13422718,16128.1301895,732.969493877,31057.2152342,30773.6270645,30.4404338750738,190.437243942614,0.177902051633772,3458.14549476356
336271.402692182,7397042.22775028,38,36,São Paulo,80.71,Catumbi,1269.00002,1269.00002,3482.9994877,658.949382011,4132.9079949,935.636922623,10827.7960948,10712.341876,43.154497431545,51.2068887981663,0.0455882239830261,6419.85093536537
337392.729481003,7396616.08339935,39,36,São Paulo,159.43,Belém,991.99975,1008.2044,3321.9998445,1101.82136481,18848.0690418,645.666738057,29716.670152,29882.1860667,20.8367298783165,118.221595946811,0.207904457148679,7278.16332571964
338208.259194805,7395074.62284869,40,36,São Paulo,126.93,Quarta Parada,1998.99998,2065.49146,6234.998504,6835.12224062,9279.49403942,1316.79361874,27642.2723755,27433.9082732,49.1215512802332,73.1071774948397,0.1023578684162,7710.32424402412
337226.987566313,7395745.17651801,41,36,São Paulo,182.98,Belenzinho,5958.00015,5958.00015,17677.0063597,3310.33659375,25120.783031,4224.51855961,51727.2903609,51472.3105602,96.606221224724,137.287042469122,0.277095905560786,6865.49024737454
336078.006836286,7396285.76915167,42,36,São Paulo,63.74,Celso Garcia,1710.99999,1765.56305,5472.00110269,851.112634505,9520.44479489,740.84907016,21813.8056917,21768.1080711,85.8487778897082,149.363740114371,0.105015686355239,5931.69562181355
336952.426102134,7394585.10097564,43,36,São Paulo,268.11,Moóca,6416.00015,6416.00015,18534.9952825,30172.2989979,24148.7747557,4005.06685033,84256.9632946,83505.6549124,69.1320550613554,90.0703992976763,0.26637412539476,6411.77965638586
337744.20031626,7392983.01170382,44,36,São Paulo,141.28,Alto da Moóca,5115.99993,5164.6842,15537.9991099,5098.62095738,12180.8255755,4566.91973096,42614.5427737,42649.3937988,109.980174900198,86.2176215706399,0.134361133932647,7274.82695052212
336955.290004888,7392774.95244859,45,36,São Paulo,381.52,Parque da Moóca,8180.99989,8492.59143,24704.0101637,10491.9113673,40367.1503441,8512.4066028,110196.574615,109853.734173,64.7515468748689,105.806118536643,0.445271632882756,6536.13220506479
340309.304477201,7392212.62694937,46,36,São Paulo,317.73,Água Rasa,11263.99996,11432.60181,36999.9961145,6739.08472357,18648.2004728,8007.97615337,79545.6240371,79544.3949252,116.451062583011,58.6919726585466,0.205699798080056,9935.14093355036
338901.111829898,7392828.80941074,47,36,São Paulo,189.08,Vila Bertioga,6870.99987,6870.99987,21268.0018112,3137.90230186,9112.26207073,4579.71195894,40542.8777665,40469.3247817,112.481498895706,48.192627833351,0.100513208807234,8441.68781737741
339162.30023861,7393843.39823483,48,36,São Paulo,209.53,Regente Feijó,7202.99978,7202.99978,22713.001344,12249.9191267,21507.1603574,5834.43766689,69876.2214413,70127.5615415,108.39975823987,102.644778110056,0.237235681225402,8608.64601674854
333211.0401169,7391445.2282455,49,36,São Paulo,94.19,Ana Rosa,4344.99985,4344.99985,11844.0000038,3410.18017183,11274.3545399,4018.11022374,37530.3255287,37768.7211643,125.745832931309,119.697999149591,0.124362265180656,3763.6180339391
334580.194870924,7391068.88223873,50,36,São Paulo,88.97,Jardim da Glória,2918.00003,3045.49764,9114.00329605,1877.48646433,7129.04873213,3277.88180618,24657.7137225,24421.6596522,102.439061437001,80.1286808152186,0.078637286575772,5045.32807133363
334123.100322055,7390221.423372,51,36,São Paulo,97.92,Chácara Klabin,3980.99968,3980.99968,12090.9995357,3427.19142281,10840.2739367,5694.72436895,28726.7290962,29644.1824835,123.478344931577,110.705411935253,0.119574119935277,5278.98418419327
333505.316128399,7390701.46925739,52,36,São Paulo,59.44,Vila Mariana,3190.00024,3190.00024,8421.99988084,1482.58315119,9781.14623896,2807.6974458,31238.668912,31312.7763416,141.689096245626,164.554950184388,0.107891365136288,4509.64585832771
333670.93382115,7389559.26407061,53,36,São Paulo,108.22,Santa Cruz,3855.99982,3905.14643,11688.9972616,8821.23946301,14859.5346967,3833.86415213,51193.5557926,51394.8364498,108.011432836814,137.308581562558,0.163908753079585,5517.45918014846
332331.332585725,7389491.54926295,54,36,São Paulo,93.97,Vila Clementino,3126.99987,3126.99987,7872.99897434,10182.1725946,37162.7539019,3048.13744037,96928.8938023,96471.5598868,83.7820471888901,395.47466108226,0.409925396548027,4951.56906506379
332509.853973183,7390231.54881596,55,36,São Paulo,111.67,França Pinto,5425.00016,5425.00016,15308.0012549,13111.6008514,20682.7128129,5093.21409265,70825.8710653,70802.1162633,137.082486387571,185.212794957464,0.228141576210893,4346.0900949136
332300.541836126,7391061.12807683,56,36,São Paulo,103.89,Rodrigues Alves,7501.99999,7577.02488,19325.9939872,7037.21403281,31936.254393,7302.24474686,101212.07535,101741.103059,186.023621014535,307.404508547502,0.352274263120201,3515.77958641549
331885.511864011,7391956.35426319,57,36,São Paulo,95.61,Paraíso,7776.00001,7776.00001,20766.0022588,3527.4724364,38979.20141,8954.27415296,87698.8002675,89848.695144,217.194877719904,407.68958696789,0.429961800928395,2533.914794531
333514.742264274,7388411.06414502,58,36,São Paulo,169.36,Bosque da Saúde,7863.00009,7955.91446,22797.9998902,3383.08385104,20303.7665673,7653.93012345,72003.8926904,72470.4871931,134.61265877539,119.885253703944,0.223961592929568,6424.45762062175
333180.06423648,7386773.61100698,59,36,São Paulo,261.06,Saúde,14529.00004,14529.00004,42967.9876351,10209.9892156,35046.001515,15055.2353214,121035.854934,122407.08642,164.590468226078,134.245006952425,0.386576465952504,7795.28519270497
331706.920671101,7387071.49866858,60,36,São Paulo,320.08,Planalto Paulista,6973.00005,7214.88396,22228.9975553,4090.68275216,22053.3442857,7875.85429697,65782.8451722,66051.8995072,69.4482552964884,68.8994760238066,0.243260387144332,7136.25851095857
332378.032546479,7388493.3770245,61,36,São Paulo,174.93,Mirandópolis,9307.99997,9307.99997,25489.008542,11698.5205819,21608.7019194,9422.4187692,86586.6642303,87922.7813643,145.709761287372,123.527707765392,0.23835573990509,5908.59589929555
330991.418074405,7390792.26240879,62,36,São Paulo,283.98,Parque Ibirapuera,1320.99997,1320.99997,3491.99978252,1088.69231265,25606.6559194,1262.1737118,44224.8583402,44736.8007427,12.296639842665,90.1706314508064,0.282455347893157,3350.54963981772
331045.160161572,7389494.75404799,63,36,São Paulo,103.07,Jardim Luzitânia,448.00049,458.32825,1646.99973895,1193.80037985,13987.7861997,866.74595669,36416.4460991,36223.1645656,15.9794289216067,135.711518382653,0.154292892821592,4645.51910885611
330383.150218991,7388688.66524352,64,36,São Paulo,280.64,Moema,16474.00001,16474.00001,43271.0185565,12192.8933306,51394.3392023,21619.7152281,131491.240891,131265.540249,154.186924730972,183.132622585162,0.566907526106388,5428.80055749395
329792.213334506,7387924.96784126,65,36,São Paulo,132.67,Bandeirantes,3554.00016,3554.00016,9654.00094749,4868.02910756,24326.6353626,3920.63718487,56849.6773025,57857.3427305,72.767023045828,183.361991125349,0.26833602466644,6236.86661773016
329828.252387237,7390288.02908948,66,36,São Paulo,112.36,Vila Nova Conceição,2856.99996,2896.2245,8294.00008855,2831.88358568,17617.946853,4075.32854342,42708.2088922,42772.660374,73.8163055228729,156.799099795301,0.194335540071718,3895.57024135787
328561.059314959,7390719.73164641,67,36,São Paulo,202.75,Chácara Itaim,8541.00033,8541.00033,21975.9986507,6723.26607433,72170.1783537,11018.3754883,142328.363452,146039.900863,108.389635761776,355.95649003058,0.79607633650287,3938.65068666907
328888.078303083,7389938.01337596,68,36,São Paulo,89.71,Vila Olimpia,2703.00002,2703.00002,6879.99937497,2251.80137118,23481.3746976,2708.73891337,47940.7584532,46048.6287977,76.6915547315795,261.747572150262,0.259012339607974,4498.07820480685
